FID,id,global_id,name,ward_code,timestamp,geom,lga_name,state_code,state_name
sv_factory_sites.fid-4f319755_16f104f4870_-6e7e,4458,7141c565-b9d7-4b92-bfc1-edf6abf29c24,Alhaji Abubakar Factory,NASGRU06,10:17:21,POINT (7.921598327061305 8.840484841999388),Kokona,NA,Nasarawa
sv_factory_sites.fid-4f319755_16f104f4870_-6e7d,4459,4d358fd6-ab1e-4000-9646-780afdb9b969,Estate block industry,NASGRU06,10:17:21,POINT (7.9458414263746056 8.846871576640458),Kokona,NA,Nasarawa
sv_factory_sites.fid-4f319755_16f104f4870_-6e7c,4460,994c6bdb-5f73-4bad-9141-c499234e77ec,Chinese Sawmill,OGSOBE02,10:17:21,POINT (3.5675466666666664 6.936978333333333),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e7b,4461,13511b2b-eaab-43ce-b14d-0440f5bccb69,Ode Remo Feed Mill,OGSRMN08,10:17:21,POINT (3.682293333333333 6.969854999999999),Remo North,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e7a,4462,dea9d6aa-d5c8-4039-a1b1-4417dfc41965,Hope Concrete,OGSRMN08,10:17:21,POINT (3.6825766666666673 6.96709),Remo North,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e79,4463,7d6a5016-7f91-442d-8521-209a579f51d9,Hope Enterprise,OGSRMN08,10:17:21,POINT (3.6809066666666665 6.9679416666666665),Remo North,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e78,4464,36075714-b2e9-4e48-a065-8524358fb030,Oluwalogbo Block Industry,OGSOBE12,10:17:21,POINT (3.4951027999999997 6.9443072),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e77,4465,94361b4a-4ed5-429e-b066-6c089c8e0119,Sholad Blocks Industry,OGSSAU14,10:17:21,POINT (3.5375983333333334 6.815008333333333),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e76,4466,ceff9c92-cbdf-43aa-bc75-ba09306c0396,Wemkaz Blocks Industry,OGSSAU14,10:17:21,POINT (3.537183333333333 6.8132600000000005),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e75,4467,c7fc3866-1717-4ab5-b6bc-fd77a34fb2f5,Yahweh Blocks Industry,OGSSAU14,10:17:21,POINT (3.5319149999999997 6.809634999999999),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e74,4468,fc1d1999-0ba4-44c2-b9d4-9841cd06d7a9,Destiny Vibrated Blocks Industry,OGSSAU14,10:17:21,POINT (3.530518333333333 6.80914),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e73,4469,b3dbdf15-da4f-4b8f-805f-b8be5b8797d0,No Name Blocks Industry,OGSSAU14,10:17:21,POINT (3.5279233333333337 6.807436666666666),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e72,4470,bf673710-447e-47a8-a2bc-28329d3519cb,Loyalt Blocks Industry,OGSSAU14,10:17:21,POINT (3.5232766666666664 6.8050049999999995),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e71,4471,7934d451-87dd-4f77-9806-87a9d0272200,Omo Kelebu Blocks Industry,OGSSAU14,10:17:21,POINT (3.521933333333333 6.803558333333332),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e70,4472,2c63f691-6ec9-40b1-b799-5d7eed152252,Ogo Oluwa Blocks Industry,OGSSAU14,10:17:21,POINT (3.5204216666666666 6.801504999999999),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e6f,4473,4d333cd8-18bb-40b0-a8d0-dfa8635585bb,New Global Paper,OGSSAU14,10:17:21,POINT (3.497421666666667 6.8384550000000015),Shagamu,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e6e,4474,2ea10d7e-dea8-4fb3-9527-ec8bc6571658,Lisa Block Industry,OGSOBE12,10:17:21,POINT (3.479145 6.9327000000000005),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e6d,4475,d3146cf4-a8b2-4646-967f-71940fd28fce,Ofada Rice Agro Processing Mills,OGSOBE06,10:17:21,POINT (3.565736666666667 7.0011816666666675),Obafemi Owode,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e6c,4476,8164ea42-7a8d-4da3-a6d0-20d0ec3659b8,Largeman Block Industry,OGSABS02,10:17:21,POINT (3.3737366666666664 7.173121666666666),Abeokuta South,OG,Ogun
sv_factory_sites.fid-4f319755_16f104f4870_-6e6b,4477,0ad94016-a19f-4f13-b118-2bca46bbefd4,Moloko Ashipa,OGSOBE06,10:17:21,POINT (3.566803333333333 6.999531666666667),Obafemi Owode,OG,Ogun
